№з/п;Договір №;від;ЄДРПОУ контрагента;Назва контрагента;Предмет договору;Код CPV (розділ);Обсяг платежів, грн.
;;;;І.ТОВАРИ;;;
1;19360;02.06.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;675.59
1;33970;11.07.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;15654.65
1;1/105;08.08.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;35561.92
1;1/139;17.10.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;44530.90
1;1/159;22.11.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;7268.28
1;1/228;27.12.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;49329.65
1;1/212;12.12.2016;38567757;"ТОВ ""Електроноф""";Паяльна станція;42000000-6;3785.94
1;42491;10.03.2016;24533971;"ПП ""Екотех ВКФ""";Система зворотнього осмосу;42000000-6;4844.00
1;14977;22.04.2016;;ФОП Єрмошенко В.М.;Пляжеприбиральна машина;43000000-3;249950.00
1;б/н;;38574319;"ТОВ ""Технотрастсервіс""";Фільтр патронний;42000000-6;349.00
1;б/н;;38574319;"ТОВ ""Технотрастсервіс""";Долото списоподібне;44000000-0;914.00
1;55;11.01.2016;38017560;"ТОВ ""Стімпекс Компанія"" ";Рукавиці;18000000-9;1627.38
1;55;11.01.2016;38017560;"ТОВ ""Стімпекс Компанія"" ";Миючі засоби;39000000-2;60885.72
1;55;11.01.2016;38017560;"ТОВ ""Стімпекс Компанія"" ";Канцтовари;30000000-9;147385.50
1;55;11.01.2016;38017560;"ТОВ ""Стімпекс Компанія"" ";Телефон;30000000-9;858.24
1;43831;14.03.2016;35848260;"ТОВ ""Сіопласт""";Пластик;34000000-7;288000.00
1;1/158;22.11.2016;35848260;"ТОВ ""Сіопласт""";Склокульки;34000000-7;19998.00
1;12420;01.04.2016;5537398;Іллічівський судоремонтний ліцей;Лавки садово-паркові;39000000-2;16923.06
1;28856;15.06.2016;5537398;Іллічівський судоремонтний ліцей;Лавки садово-паркові;39000000-2;12163.04
1;1/230;27.12.2016;5537398;Іллічівський судоремонтний ліцей;Лавки садово-паркові;39000000-2;44389.28
1;1/178;05.12.2016;5537398;Іллічівський судоремонтний ліцей;Лавки садово-паркові;39000000-2;51218.40
1;б/н;;21036574;"ТОВ ""Ільтур""";Флагшток;35000000-4;26171.50
1;1/226;19.12.2016;;ФОП Капусткін О.М.;Піч калориферна;39000000-2;10000.00
1;б/н;;24766741;"ТОВ ""Гратек""";Канцтовари;30000000-9;4028.32
1;б/н;;24766741;"ТОВ ""Гратек""";Друковані продукція;22000000-0;74620.44
1;ПАЛ-01-02-2016;01.02.2016;37635244;"ТОВ ""Кінг-Енерджі""";Паливо;09000000-3;452675.40
1;45292;17.03.2016;;ФОП Ковальчук Н.А.;Табличка адресна;44000000-0;22822.80
1;13881;19.04.2016;;ФОП Ковальчук Н.А.;Табличка адресна;44000000-0;6224.40
1;14246;19.04.2016;;ФОП Ковальчук Н.А.;Табличка адресна;44000000-0;1640.00
1;1/101;21.07.2016;;ФОП Ковальчук Н.А.;Табличка адресна;44000000-0;6540.00
1;1/103;21.07.2016;;ФОП Ковальчук Н.А.;Табличка інформаційна;44000000-0;29400.00
1;б/н;;;ФОП Ковальчук Н.А.;Щит інформаційний;44000000-0;4150.00
1;1/114;21.07.2016;;ФОП Ковальчук Н.А.;Табличка адресна;44000000-0;1905.00
1;1/217;16.12.2016;;ФОП Ковальчук Н.А.;Табличка інформаційна;44000000-0;77826.00
1;1/163;25.11.2016;;"ВКФ ""Комплект"" ТОВ";Конструкційні матеріали;44000000-0;39484.80
1;б/н;;13884689;"ВКФ ""Комплект"" ТОВ";Конструкційні матеріали;44000000-0;20675.40
1;44927;17.03.2016;34801368;"ДП ""Торговий дім ""Лакма""-Од""";Розчинник;44000000-0;14400.00
1;930;30.05.2016;22481842;"ТОВ ""Лузанівка""";Мінеральна вода;15000000-8;30418.94
1;М8-16;13.05.2016;37350843;"ПП ""Марсель-8""";Морозиво;15000000-8;64660.44
1;б/н;;36008659;"ТОВ ""Макси Трейд""";Конвектор електричний;39000000-2;1039.00
1;1/136;10.10.2016;;ФОП Матковська О.П;Подрібнювач гілок;42000000-6;18870.00
1;б/н;;;ФОП Марущак О.О.;Меблі;39000000-2;4190.00
1;б/н;;;ФОП Марущак Т.В.;Меблі;39000000-2;5430.00
1;10067;01.04.2016;31629324;"ТОВ ""Піріт Систем""";Офісна техніка;30000000-9;23690.40
1;46023;21.03.2016;38170165;"ТОВ ""Миколаїв-Фарм""";Медикаменти;33000000-0;6856.82
1;б/н;;;"ТОВ ""Медфарм""";Медикаменти;33000000-0;16758.45
